system,name,users,bs,MB,lat,min,max,std,iops,us50,us100,us250,us500,ms1,ms2,ms4,ms10,ms20,ms50,ms100,ms250,ms500,s1,s2,s5,p95_00, p99_00, p99_50, p99_90, p99_95, p99_99
colorado,randread,1,8K,   1.163,    6.706, 0.2,135,    4.1,148,  0, 0, 0, 0, 3, 1,14,65,12, 0, 0, 0, 0, 0, 0, 0,12.096,19.328,22.912,39.680,46.336,136.192
colorado,randread,8,8K,  10.509,    5.943, 0.2,66,    3.0,1345,  0, 0, 0, 1, 2, 2,17,68, 6, 0, 0, 0, 0, 0, 0, 0,10.816,15.552,18.304,23.424,25.472,31.616
colorado,randread,16,8K,  18.001,    6.940, 0.1,71,    3.5,2304,  0, 0, 0, 0, 2, 2,12,67,13, 0, 0, 0, 0, 0, 0, 0,12.992,18.560,21.376,27.008,29.568,38.656
colorado,randread,32,8K,  29.393,    8.500, 0.3,65,    4.2,3762,  0, 0, 0, 0, 0, 1, 7,61,25, 1, 0, 0, 0, 0, 0, 0,16.192,22.656,25.728,32.640,36.096,42.240
colorado,randread,64,8K,  39.232,   12.734, 0.4,504,   15.7,5021,  0, 0, 0, 0, 0, 1, 5,51,31, 8, 1, 0, 0, 0, 0, 0,31.104,84.480,116.224,185.344,214.016,284.672
colorado,read,1,8K,  10.004,    0.778, 0.2,141,    1.9,1280,  0, 0, 6,28,59, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0,1.320,7.712,9.792,21.376,33.536,72.192
colorado,read,1,32K,  35.595,    0.875, 0.4,42,    1.3,1139,  0, 0, 0,14,78, 1, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0,1.832,7.968,10.048,14.400,16.768,26.496
colorado,read,1,128K,  84.415,    1.477, 0.6,118,    2.5,675,  0, 0, 0, 0,68,24, 1, 4, 1, 0, 0, 0, 0, 0, 0, 0,5.920,12.608,15.296,22.144,24.192,42.240
colorado,read,1,1M, 161.389,    6.190, 1.0,56,    5.6,161,  0, 0, 0, 0, 0, 0,58,22,15, 3, 0, 0, 0, 0, 0, 0,18.304,26.752,30.336,37.632,47.360,56.064
colorado,read,8,1M, 480.227,   16.650, 2.0,169,   12.9,480,  0, 0, 0, 0, 0, 0, 0,31,42,21, 3, 0, 0, 0, 0, 0,41.000,73.000,81.000,102.000,109.000,139.000
colorado,read,16,1M, 564.198,   28.330, 3.0,448,   27.7,564,  0, 0, 0, 0, 0, 0, 0,16,32,39, 8, 2, 0, 0, 0, 0,84.000,141.000,180.000,269.000,302.000,351.000
colorado,read,32,1M, 677.158,   47.230, 2.0,1305,   55.6,677,  0, 0, 0, 0, 0, 0, 0, 8,22,41,16, 9, 1, 0, 0, 0,143.000,277.000,347.000,553.000,619.000,791.000
colorado,read,64,1M, 690.842,   92.540, 3.0,1403,  152.0,690,  0, 0, 0, 0, 0, 0, 0, 7,17,34,17,14, 5, 2, 0, 0,383.000,750.000,996.000,1270.000,1303.000,1369.000
colorado,write,1,1K,   1.112,    0.874, 0.3,35,    0.8,1139,  0, 0, 0,15,69,11, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0,1.896,3.856,6.624,11.456,13.632,18.048
colorado,write,1,8K,  10.128,    0.768, 0.4,32,    0.6,1296,  0, 0, 0,12,84, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.876,3.856,4.080,8.256,10.176,16.512
colorado,write,1,128K,  44.547,    2.802, 1.0,128,    4.2,356,  0, 0, 0, 0, 2,71, 4,16, 5, 0, 0, 0, 0, 0, 0, 0,11.584,18.304,23.936,46.848,54.528,96.768
colorado,write,4,1K,   2.784,    1.399, 0.3,57,    0.8,2851,  0, 0, 0, 0,15,78, 3, 1, 0, 0, 0, 0, 0, 0, 0, 0,2.008,4.768,6.176,9.920,11.712,17.536
colorado,write,4,8K,  17.372,    1.795, 0.4,103,    1.6,2223,  0, 0, 0, 0, 3,86, 1, 7, 0, 0, 0, 0, 0, 0, 0, 0,4.576,5.984,8.640,16.512,29.056,58.624
colorado,write,4,128K, 100.299,    4.980, 1.0,359,   10.0,802,  0, 0, 0, 0, 0, 4,72,15, 5, 1, 0, 0, 0, 0, 0, 0,12.608,49.408,82.432,127.488,138.240,183.296
colorado,write,16,1K,   8.811,    1.770, 0.4,59,    1.4,9022,  0, 0, 0, 0, 9,76, 6, 7, 0, 0, 0, 0, 0, 0, 0, 0,4.640,5.792,8.512,16.512,19.584,44.800
colorado,write,16,8K,  41.884,    2.981, 0.5,1168,   10.9,5361,  0, 0, 0, 0, 0,44,44, 8, 0, 0, 0, 0, 0, 0, 0, 0,5.408,17.024,39.680,107.008,156.672,226.304
colorado,write,16,128K, 117.830,   16.960, 2.0,224,   23.7,942,  0, 0, 0, 0, 0, 0, 0,58,19,13, 6, 1, 0, 0, 0, 0,71.000,118.000,137.000,196.000,204.000,225.000

