system,name,users,bs,MB,lat,min,max,std,iops,us50,us100,us250,us500,ms1,ms2,ms4,ms10,ms20,ms50,ms100,ms250,ms500,s1,s2,s5,p95_00, p99_00, p99_50, p99_90, p99_95, p99_99
dtv,randread,1,8K,   1.319,    5.915, 0.3,503,    6.5,168 , 0, 0, 0, 0, 2, 3,22,64, 3, 1, 0, 0, 0, 0, 0, 0,10.560,24.448,27.520,35.584,48.896,325.632
dtv,randread,8,8K,  11.806,    5.289, 0.4,600,    5.8,1511 , 0, 0, 0, 0, 6, 4,25,58, 4, 0, 0, 0, 0, 0, 0, 0,10.048,16.192,20.352,29.312,47.360,226.304
dtv,randread,16,8K,  19.357,    6.452, 0.4,654,    7.3,2477 , 0, 0, 0, 0, 1, 3,19,62,11, 0, 0, 0, 0, 0, 0, 0,12.736,19.072,22.144,30.848,50.432,436.224
dtv,randread,32,8K,  31.492,    7.923, 0.2,522,    6.8,4031 , 0, 0, 0, 0, 0, 1,13,62,19, 2, 0, 0, 0, 0, 0, 0,16.768,25.216,29.056,44.800,70.144,313.344
dtv,randread,64,8K,  37.209,   13.420, 0.4,665,   31.1,4762 , 0, 0, 0, 0, 0, 0, 9,58,21, 6, 1, 1, 0, 0, 0, 0,32.000,145.000,231.000,449.000,519.000,627.000
dtv,read,1,8K,   8.523,    0.913, 0.3,645,    2.7,1091 , 0, 0, 0,16,66,13, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0,1.272,5.600,7.712,22.144,25.472,38.144
dtv,read,1,32K,  17.193,    1.814, 0.5,555,    3.4,550 , 0, 0, 0, 0,42,44, 4, 7, 1, 0, 0, 0, 0, 0, 0, 0,6.240,14.016,21.632,28.544,30.848,51.456
dtv,read,1,128K,  37.552,    3.320, 1.0,549,    6.3,300 , 0, 0, 0, 0, 0,48,37, 8, 4, 1, 0, 0, 0, 0, 0, 0,10.560,21.120,25.984,36.096,44.800,296.960
dtv,read,1,1M,  87.165,   11.470, 4.0,582,   10.4,87 , 0, 0, 0, 0, 0, 0, 0,61,23,14, 0, 0, 0, 0, 0, 0,27.000,38.000,43.000,63.000,155.000,461.000
dtv,read,8,1M, 269.019,   14.860, 4.0,594,   15.0,269 , 0, 0, 0, 0, 0, 0, 0,36,47,14, 1, 0, 0, 0, 0, 0,32.000,62.000,72.000,109.000,400.000,553.000
dtv,read,16,1M, 376.654,   21.210, 5.0,588,   15.8,376 , 0, 0, 0, 0, 0, 0, 0, 3,59,33, 2, 0, 0, 0, 0, 0,42.000,91.000,100.000,141.000,174.000,478.000
dtv,read,32,1M, 417.548,   38.240, 5.0,636,   32.8,417 , 0, 0, 0, 0, 0, 0, 0, 0,21,58,13, 4, 0, 0, 0, 0,99.000,151.000,182.000,465.000,523.000,586.000
dtv,read,64,1M, 399.669,   79.930, 5.0,1406,  106.0,399 , 0, 0, 0, 0, 0, 0, 0, 0,10,43,25,15, 3, 1, 0, 0,255.000,594.000,676.000,1057.000,1205.000,1270.000
dtv,write,1,1K,   0.757,    1.287, 0.5,536,    1.7,775 , 0, 0, 0, 0,48,39,10, 0, 0, 0, 0, 0, 0, 0, 0, 0,2.672,4.256,7.456,19.072,20.352,31.104
dtv,write,1,8K,   6.802,    1.145, 0.5,400,    1.8,870 , 0, 0, 0, 0,50,46, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0,1.512,3.184,6.176,18.304,20.096,79.360
dtv,write,1,128K,  41.685,    2.990, 1.0,373,    7.3,333 , 0, 0, 0, 0, 0,25,66, 5, 1, 0, 0, 0, 0, 0, 0, 0,7.008,14.656,22.912,120.320,183.296,284.672
dtv,write,4,1K,   0.947,    2.057, 0.5,162,    1.4,970 , 0, 0, 0, 0, 7,47,42, 1, 0, 0, 0, 0, 0, 0, 0, 0,3.280,5.024,7.328,19.584,20.608,33.536
dtv,write,4,8K,   7.068,    2.206, 0.6,156,    2.1,904 , 0, 0, 0, 0, 0,41,56, 1, 0, 0, 0, 0, 0, 0, 0, 0,2.832,4.320,5.408,21.120,39.680,93.696
dtv,write,4,128K,  49.128,    5.080, 1.0,494,   11.4,393 , 0, 0, 0, 0, 0, 0,66,28, 3, 0, 0, 0, 0, 0, 0, 0,10.000,21.000,36.000,204.000,260.000,420.000
dtv,write,16,1K,   3.245,    2.402, 0.5,185,    1.9,3323 , 0, 0, 0, 0, 0,36,58, 3, 0, 0, 0, 0, 0, 0, 0, 0,3.792,7.648,9.408,21.888,35.072,50.944
dtv,write,16,8K,  20.884,    2.987, 0.7,311,    4.5,2673 , 0, 0, 0, 0, 0, 7,87, 4, 0, 0, 0, 0, 0, 0, 0, 0,4.448,9.664,16.064,73.216,115.200,166.912
dtv,write,16,128K,  84.580,   11.800, 2.0,887,   28.7,676 , 0, 0, 0, 0, 0, 0, 0,76,19, 3, 0, 0, 0, 0, 0, 0,20.000,67.000,174.000,498.000,603.000,750.000
