system,name,users,bs,MB,lat,min,max,std,iops,us50,us100,us250,us500,ms1,ms2,ms4,ms10,ms20,ms50,ms100,ms250,ms500,s1,s2,s5,p95_00, p99_00, p99_50, p99_90, p99_95, p99_99
emc,randread,1,8K,   0.356,   21.900, 2.0,162,   19.0,45 , 0, 0, 0, 0, 0, 0, 0,15,48,30, 4, 1, 0, 0, 0, 0,53.000,103.000,139.000,163.000,163.000,163.000
emc,randread,8,8K,   2.608,   23.756, 0.4,206,   20.0,333 , 0, 0, 0, 0, 0, 0, 1,14,42,33, 6, 1, 0, 0, 0, 0,61.000,108.000,137.000,176.000,202.000,206.000
emc,randread,16,8K,   4.630,   26.676, 0.2,358,   25.2,592 , 0, 0, 0, 0, 0, 0, 1,13,37,35, 8, 2, 0, 0, 0, 0,73.000,129.000,153.000,235.000,285.000,359.000
emc,randread,32,8K,   7.410,   32.831, 0.3,303,   24.2,948 , 0, 0, 0, 0, 0, 0, 0, 4,25,54,12, 2, 0, 0, 0, 0,80.000,124.000,151.000,245.000,269.000,306.000
emc,randread,64,8K,   7.614,   54.690, 0.3,404,   30.4,974 , 0, 0, 0, 0, 0, 0, 0, 0, 2,49,42, 5, 0, 0, 0, 0,103.000,180.000,231.000,289.000,306.000,404.000
emc,read,1,8K,  15.342,    0.506, 0.2,3,    0.2,1963 , 0, 0,10,25,63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.652,0.716,0.820,2.288,2.352,2.480
emc,read,1,32K,   7.908,    3.946, 0.3,238,    9.7,253 , 0, 0, 0,10,60, 5, 3,10, 6, 3, 0, 0, 0, 0, 0, 0,18.560,42.240,58.624,107.008,123.392,238.592
emc,read,1,128K,  37.373,    3.339, 0.6,127,    8.4,298 , 0, 0, 0, 0,32,53, 1, 4, 4, 3, 0, 0, 0, 0, 0, 0,17.280,40.704,50.944,114.176,116.224,127.488
emc,read,1,1M,  23.017,   43.420, 3.0,240,   37.0,23 , 0, 0, 0, 0, 0, 0,17,12, 0,29,36, 4, 0, 0, 0, 0,96.000,190.000,202.000,241.000,241.000,241.000
emc,read,8,1M, 135.312,   36.790, 3.0,393,   41.7,135 , 0, 0, 0, 0, 0, 0, 9,10,36,13,22, 6, 0, 0, 0, 0,113.000,196.000,245.000,351.000,396.000,396.000
emc,read,16,1M, 147.754,   60.010, 3.0,475,   56.4,147 , 0, 0, 0, 0, 0, 0, 3, 9,24,14,31,16, 1, 0, 0, 0,169.000,260.000,289.000,408.000,478.000,478.000
emc,read,32,1M, 246.147,   71.180, 3.0,1038,   81.1,246 , 0, 0, 0, 0, 0, 0, 6,14,16, 9,25,23, 2, 0, 0, 0,212.000,371.000,441.000,619.000,988.000,1037.000
emc,read,64,1M, 282.076,  111.120, 3.0,851,  115.2,282 , 0, 0, 0, 0, 0, 0, 0, 1,11,30,12,32, 8, 1, 0, 0,330.000,545.000,660.000,758.000,791.000,848.000
emc,write,1,1K,   1.500,    0.647, 0.2,96,    2.2,1536 , 0, 0, 2,27,69, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.708,0.916,3.248,36.096,54.528,88.576
emc,write,1,8K,  13.686,    0.567, 0.2,3,    0.2,1751 , 0, 0, 0,29,69, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.756,0.916,1.004,1.224,1.688,2.672
emc,write,1,128K,  94.443,    1.317, 0.7,50,    2.1,755 , 0, 0, 0, 0,54,43, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0,1.176,10.048,10.048,29.824,39.680,50.432
emc,write,4,1K,   4.752,    0.611, 0.2,330,    3.5,4866 , 0, 0,23,44,31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.700,2.928,14.144,40.192,47.872,124.416
emc,write,4,8K,  55.501,    0.419, 0.2,7,    0.1,7104 , 0, 0, 1,85,12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.708,0.860,1.004,1.864,2.320,3.312
emc,write,4,128K, 112.242,    3.331, 0.7,114,    6.3,897 , 0, 0, 0, 0, 6,78, 0, 6, 5, 2, 0, 0, 0, 0, 0, 0,10.176,30.080,39.680,70.144,80.384,114.176
emc,write,16,1K,  11.661,    0.739, 0.2,722,    4.4,11941 , 0, 0,11,69,17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.748,10.432,21.376,44.288,58.112,171.008
emc,write,16,8K, 173.187,    0.399, 0.2,835,    2.0,22167 , 0, 0, 1,94, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.474,0.708,0.868,10.048,20.096,40.192
emc,write,16,128K,  96.222,   11.588, 0.7,3331,  141.3,769 , 0, 0, 0, 0, 0, 2,84, 3, 4, 4, 0, 0, 0, 0, 0, 0,20.096,49.920,61.696,3293.184,3293.184,3325.952

