system,name,users,bs,MB,lat,min,max,std,iops,us50,us100,us250,us500,ms1,ms2,ms4,ms10,ms20,ms50,ms100,ms250,ms500,s1,s2,s5,p95_00, p99_00, p99_50, p99_90, p99_95, p99_99
molina,randread,1,8K,   1.683,    4.635, 0.8,185,    3.6,215 , 0, 0, 0, 0, 0,16,26,54, 1, 0, 0, 0, 0, 0, 0, 0,8.896,14.272,18.816,27.264,45.312,129.536
molina,randread,8,8K,  16.978,    3.677, 0.3,211,    3.3,2173 , 0, 0, 0, 0, 4,32,24,36, 1, 0, 0, 0, 0, 0, 0, 0,8.032,14.016,18.816,27.520,31.616,90.624
molina,randread,16,8K,  38.486,    3.244, 0.0,214,    3.2,4926 , 0, 0, 0, 0, 3,41,27,24, 1, 0, 0, 0, 0, 0, 0, 0,7.840,13.632,18.304,29.312,38.656,87.552
molina,randread,32,8K,  91.727,    2.722, 0.0,189,    2.8,11741 , 0, 0, 0, 0, 3,51,28,14, 1, 0, 0, 0, 0, 0, 0, 0,7.072,12.736,16.512,29.056,35.584,75.264
molina,randread,64,8K, 135.574,    3.684, 0.0,638,   11.5,17353 , 0, 0, 0, 0, 4,51,29, 9, 2, 1, 0, 0, 0, 0, 0, 0,8.768,37.632,67.072,168.960,224.256,350.208
molina,read,1,8K,   2.131,    3.661, 0.3,412,   17.9,272 , 0, 0, 0, 2,50,37, 3, 1, 0, 0, 0, 0, 0, 0, 0, 0,5.280,98.816,142.336,222.208,280.576,403.456
molina,read,1,32K,   9.139,    3.416, 0.6,1354,   12.6,292 , 0, 0, 0, 0, 1,36,41,18, 1, 0, 0, 0, 0, 0, 0, 0,6.496,14.400,22.144,84.480,158.720,626.688
molina,read,1,128K,  21.313,    5.860, 1.0,360,    6.9,170 , 0, 0, 0, 0, 0, 2,38,52, 5, 1, 0, 0, 0, 0, 0, 0,10.688,23.168,32.384,82.432,119.296,209.920
molina,read,1,1M,  99.659,   10.030, 3.0,162,    6.7,99 , 0, 0, 0, 0, 0, 0, 0,61,33, 4, 0, 0, 0, 0, 0, 0,20.000,31.000,42.000,90.000,122.000,163.000
molina,read,8,1M, 294.684,   13.570, 4.0,182,    7.0,294 , 0, 0, 0, 0, 0, 0, 0,26,62,10, 0, 0, 0, 0, 0, 0,24.000,37.000,47.000,93.000,106.000,174.000
molina,read,16,1M, 360.537,   22.180, 4.0,371,   11.9,360 , 0, 0, 0, 0, 0, 0, 0, 2,46,48, 1, 0, 0, 0, 0, 0,38.000,58.000,82.000,141.000,178.000,289.000
molina,read,32,1M, 392.026,   40.800, 5.0,722,   23.4,392 , 0, 0, 0, 0, 0, 0, 0, 0, 8,67,21, 1, 0, 0, 0, 0,79.000,118.000,139.000,239.000,306.000,611.000
molina,read,64,1M, 529.426,   60.413, 0.4,1308,   59.0,529 , 0, 0, 0, 0, 0, 0, 0, 0, 3,53,33, 8, 1, 0, 0, 0,145.000,293.000,388.000,701.000,840.000,1254.000
molina,write,1,1K,   0.253,    3.851, 0.4,579,    9.1,259 , 0, 0, 0, 0, 2, 8,70,15, 1, 0, 0, 0, 0, 0, 0, 0,6.560,28.544,52.480,119.296,154.624,252.928
molina,write,1,8K,   1.444,    5.400, 0.5,479,   12.8,184 , 0, 0, 0, 0, 3,13,61,12, 4, 3, 0, 0, 0, 0, 0, 0,18.560,54.016,83.456,150.528,203.776,288.768
molina,write,1,128K,  25.313,    4.932, 1.0,174,    6.3,202 , 0, 0, 0, 0, 0,15,34,45, 2, 1, 0, 0, 0, 0, 0, 0,9.280,28.544,44.288,76.288,115.200,168.960
molina,write,4,1K,   0.279,    6.973, 0.5,421,   11.9,286 , 0, 0, 0, 0, 0, 0,13,77, 5, 1, 0, 0, 0, 0, 0, 0,14.144,45.824,68.096,175.104,257.024,419.840
molina,write,4,8K,   2.051,    7.612, 0.7,363,   14.4,262 , 0, 0, 0, 0, 0, 8,40,36, 6, 5, 1, 0, 0, 0, 0, 0,26.240,64.768,87.552,177.152,228.352,358.400
molina,write,4,128K,  25.992,    9.610, 1.0,234,   10.4,207 , 0, 0, 0, 0, 0, 0,10,60,25, 3, 0, 0, 0, 0, 0, 0,18.000,57.000,76.000,137.000,155.000,235.000
molina,write,16,1K,   0.747,   10.450, 0.5,371,   18.4,765 , 0, 0, 0, 0, 0, 2,22,54, 9, 6, 2, 0, 0, 0, 0, 0,40.192,90.624,128.512,207.872,242.688,370.688
molina,write,16,8K,  14.747,    4.234, 0.5,253,    5.5,1887 , 0, 0, 0, 0, 0, 9,55,32, 1, 0, 0, 0, 0, 0, 0, 0,8.640,16.320,32.128,79.360,99.840,177.152
molina,write,16,128K,  64.140,   15.560, 2.0,2778,   53.4,513 , 0, 0, 0, 0, 0, 0, 6,70,12, 4, 3, 2, 0, 0, 0, 0,62.000,159.000,200.000,570.000,750.000,2769.000

