system,name,users,bs,MB,lat,min,max,std,iops,us50,us100,us250,us500,ms1,ms2,ms4,ms10,ms20,ms50,ms100,ms250,ms500,s1,s2,s5,p95_00, p99_00, p99_50, p99_90, p99_95, p99_99
phs,randread,1,8K,   1.290,    6.048, 0.2,154,    3.9,165,  0, 0, 0, 0, 1, 2,14,77, 2, 0, 0, 0, 0, 0, 0, 0,9.408,19.072,22.144,35.584,82.432,142.336
phs,randread,8,8K,  12.417,    5.029, 0.2,193,    3.3,1589,  0, 0, 0, 5, 6, 3,16,63, 3, 0, 0, 0, 0, 0, 0, 0,9.536,13.504,15.424,22.400,28.032,109.056
phs,randread,16,8K,  21.120,    5.915, 0.2,1769,   14.5,2703,  0, 0, 0, 4, 7, 6,13,58, 9, 0, 0, 0, 0, 0, 0, 0,11.840,17.280,20.864,67.072,124.416,716.800
phs,randread,32,8K,  35.051,    7.128, 0.2,222,    4.6,4486,  0, 0, 0, 0, 4, 7,11,56,18, 1, 0, 0, 0, 0, 0, 0,15.040,21.632,24.448,33.536,38.656,63.744
phs,randread,64,8K,  43.687,   11.439, 0.0,653,   15.7,5591,  0, 0, 0, 0, 1, 5, 8,48,26, 7, 1, 0, 0, 0, 0, 0,29.056,76.288,104.960,195.584,240.640,358.400
phs,read,1,8K,  13.907,    0.559, 0.2,1124,    3.4,1780,  0, 0, 7,33,57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.636,3.248,5.408,10.048,13.376,25.216
phs,read,1,32K,  39.256,    0.793, 0.3,168,    1.6,1256,  0, 0, 0,25,70, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0,0.820,8.384,11.968,20.352,24.448,39.168
phs,read,1,128K,  60.310,    2.069, 0.9,154,    3.3,482,  0, 0, 0, 0, 2,88, 2, 3, 2, 0, 0, 0, 0, 0, 0, 0,7.456,18.304,22.144,33.024,39.680,54.528
phs,read,1,1M, 119.760,    8.350, 5.0,170,    6.1,119,  0, 0, 0, 0, 0, 0, 0,85, 8, 6, 0, 0, 0, 0, 0, 0,22.400,33.024,38.656,52.480,61.184,92.672
phs,read,8,1M, 187.830,   21.290, 4.0,213,   11.6,187,  0, 0, 0, 0, 0, 0, 0, 3,54,38, 2, 0, 0, 0, 0, 0,42.000,65.000,77.000,109.000,129.000,178.000
phs,read,16,1M, 197.267,   40.550, 7.0,235,   17.2,197,  0, 0, 0, 0, 0, 0, 0, 0, 6,72,19, 1, 0, 0, 0, 0,73.000,100.000,114.000,147.000,163.000,202.000
phs,read,32,1M, 198.778,   80.470,11.0,873,   51.5,198,  0, 0, 0, 0, 0, 0, 0, 0, 0,21,57,19, 1, 0, 0, 0,180.000,289.000,338.000,474.000,515.000,635.000
phs,read,64,1M, 220.885,  144.840,10.0,1391,  180.1,220,  0, 0, 0, 0, 0, 0, 0, 0, 0,10,51,25, 6, 4, 1, 0,545.000,1020.000,1237.000,1319.000,1336.000,1369.000
phs,write,1,1K,   1.109,    0.876, 0.3,94,    1.5,1136,  0, 0, 0,12,71,13, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0,1.800,2.288,3.280,10.560,43.264,61.696
phs,write,1,8K,   8.633,    0.902, 0.4,396,    3.3,1105,  0, 0, 0, 4,90, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,1.012,2.008,3.344,42.752,57.600,168.960
phs,write,1,128K,  52.124,    2.390, 1.0,493,    4.6,416,  0, 0, 0, 0, 0,87, 9, 0, 0, 2, 0, 0, 0, 0, 0, 0,2.640,28.288,31.360,39.680,42.752,64.256
phs,write,4,1K,   1.383,    1.408, 0.3,170,    2.3,1416,  0, 0, 0, 3,22,66, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0,2.224,3.216,6.048,43.776,58.624,95.744
phs,write,4,8K,   9.700,    1.607, 0.4,71,    1.8,1241,  0, 0, 0, 0, 7,86, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0,2.008,4.192,7.712,29.312,44.800,60.672
phs,write,4,128K,  54.806,    4.560, 1.0,125,    8.1,438,  0, 0, 0, 0, 0, 0,92, 4, 0, 0, 1, 0, 0, 0, 0, 0,4.768,55.552,59.648,69.120,73.216,97.792
phs,write,16,1K,   4.414,    1.766, 0.3,1339,    6.3,4520,  0, 0, 0, 0,13,76, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0,2.416,4.576,10.560,60.672,74.240,189.440
phs,write,16,8K,  26.507,    2.355, 0.5,569,    4.0,3392,  0, 0, 0, 0, 0,56,41, 1, 0, 0, 0, 0, 0, 0, 0, 0,2.672,21.888,28.288,47.872,57.600,69.120
phs,write,16,128K,  80.496,   12.420, 1.0,369,   16.3,643,  0, 0, 0, 0, 0, 0, 0,87, 2, 0, 8, 0, 0, 0, 0, 0,61.000,71.000,75.000,86.000,94.000,178.000

