system,name,users,bs,MB,lat,min,max,std,iops,us50,us100,us250,us500,ms1,ms2,ms4,ms10,ms20,ms50,ms100,ms250,ms500,s1,s2,s5,p95_00, p99_00, p99_50, p99_90, p99_95, p99_99
petsmart,randread,1,8K,   1.301,    5.997, 0.4,104,    4.9,166 , 0, 0, 0, 0, 0, 8,19,64, 5, 1, 0, 0, 0, 0, 0, 0,10.944,23.936,33.536,60.160,73.216,103.936
petsmart,randread,8,8K,  12.816,    4.869, 0.5,189,    4.2,1640 , 0, 0, 0, 0, 0,18,27,47, 5, 0, 0, 0, 0, 0, 0, 0,10.432,17.792,23.680,45.824,60.672,115.200
petsmart,randread,16,8K,  25.503,    4.895, 0.4,604,    9.0,3264 , 0, 0, 0, 0, 0,27,30,33, 5, 1, 0, 0, 0, 0, 0, 0,11.712,30.592,46.336,116.224,166.912,301.056
petsmart,randread,32,8K,  35.587,    7.017, 0.4,670,   33.6,4555 , 0, 0, 0, 0, 1,42,31,18, 2, 1, 0, 0, 0, 0, 0, 0,11.584,123.392,264.192,528.384,585.728,634.880
petsmart,randread,64,8K,  48.576,   10.285, 0.0,668,   50.2,6217 , 0, 0, 0, 0, 1,54,27, 9, 1, 1, 0, 1, 0, 0, 0, 0,17.024,284.672,432.128,610.304,634.880,643.072
petsmart,read,1,8K,   5.255,    1.482, 0.3,675,    4.2,672 , 0, 0, 0, 2,28,60, 5, 2, 0, 0, 0, 0, 0, 0, 0, 0,2.640,8.160,11.200,35.072,57.600,91.648
petsmart,read,1,32K,   9.903,    3.151, 0.6,75,    2.3,316 , 0, 0, 0, 0, 1,18,65,13, 0, 0, 0, 0, 0, 0, 0, 0,5.792,10.944,15.680,33.024,37.632,60.160
petsmart,read,1,128K,  21.912,    5.700, 1.0,87,    3.3,175 , 0, 0, 0, 0, 0, 0,23,70, 4, 0, 0, 0, 0, 0, 0, 0,10.176,17.024,22.400,37.120,52.992,66.048
petsmart,read,1,1M,  77.088,   12.970, 4.0,170,    8.4,77 , 0, 0, 0, 0, 0, 0, 0,41,49, 8, 0, 0, 0, 0, 0, 0,25.000,45.000,64.000,104.000,109.000,172.000
petsmart,read,8,1M, 214.823,   18.610, 5.0,200,   12.0,214 , 0, 0, 0, 0, 0, 0, 0,14,56,27, 1, 0, 0, 0, 0, 0,40.000,65.000,87.000,124.000,137.000,161.000
petsmart,read,16,1M, 304.286,   26.270, 1.0,1312,   44.0,304 , 0, 0, 0, 0, 0, 0, 0,10,44,38, 4, 1, 0, 0, 0, 0,59.000,163.000,273.000,644.000,799.000,1287.000
petsmart,read,32,1M, 424.937,   37.640, 1.0,1308,  106.3,424 , 0, 0, 0, 0, 0, 0, 0, 6,40,43, 6, 2, 0, 0, 0, 0,75.000,388.000,1254.000,1287.000,1303.000,1303.000
petsmart,read,64,1M, 498.101,   64.209, 0.3,1331,  188.9,498 , 0, 0, 0, 0, 0, 0, 0, 4,38,40, 8, 3, 0, 0, 2, 0,157.000,1270.000,1287.000,1303.000,1303.000,1336.000
petsmart,write,1,1K,   0.312,    3.116, 0.5,101,    4.5,320 , 0, 0, 0, 0,13,24,46,11, 2, 1, 0, 0, 0, 0, 0, 0,8.032,23.680,30.848,51.968,68.096,96.768
petsmart,write,1,8K,   2.474,    3.151, 0.6,188,    6.0,316 , 0, 0, 0, 0,12,51,22, 7, 3, 2, 0, 0, 0, 0, 0, 0,12.224,29.056,34.048,64.256,89.600,140.288
petsmart,write,1,128K,  31.691,    3.940, 1.0,192,    6.1,253 , 0, 0, 0, 0, 0,32,40,22, 2, 1, 0, 0, 0, 0, 0, 0,9.024,28.288,39.680,89.600,109.056,128.512
petsmart,write,4,1K,   0.375,    5.199, 0.5,124,    6.2,384 , 0, 0, 0, 0, 3,13,33,42, 4, 2, 0, 0, 0, 0, 0, 0,15.168,31.872,38.656,77.312,89.600,120.320
petsmart,write,4,8K,   2.523,    6.185, 0.6,381,   11.3,323 , 0, 0, 0, 0, 0,10,50,25, 7, 3, 0, 0, 0, 0, 0, 0,19.840,48.384,79.360,132.096,166.912,378.880
petsmart,write,4,128K,  27.052,    9.230, 2.0,353,   11.1,216 , 0, 0, 0, 0, 0, 0,14,57,24, 2, 0, 0, 0, 0, 0, 0,18.000,47.000,75.000,157.000,202.000,355.000
petsmart,write,16,1K,   1.385,    5.633, 0.5,193,    8.7,1418 , 0, 0, 0, 0, 1,15,45,27, 6, 3, 0, 0, 0, 0, 0, 0,17.280,44.800,56.576,94.720,124.416,166.912
petsmart,write,16,8K,  10.527,    5.931, 0.7,184,    6.3,1347 , 0, 0, 0, 0, 0, 1,38,51, 6, 1, 0, 0, 0, 0, 0, 0,11.840,27.264,41.728,84.480,111.104,179.200
petsmart,write,16,128K,  46.499,   21.500, 3.0,578,   26.8,371 , 0, 0, 0, 0, 0, 0, 0,17,54,22, 3, 1, 0, 0, 0, 0,56.000,149.000,194.000,289.000,408.000,578.000

