system,name,users,bs,MB,lat,min,max,std,iops,us50,us100,us250,us500,ms1,ms2,ms4,ms10,ms20,ms50,ms100,ms250,ms500,s1,s2,s5,p95_00, p99_00, p99_50, p99_90, p99_95, p99_99
skytap,randread,1,8K,   2.101,    3.715, 0.3,470,    9.7,268 , 0, 0, 0, 4,65, 5, 2, 9,11, 1, 0, 0, 0, 0, 0, 0,15.040,24.448,40.192,103.936,193.536,428.032
skytap,randread,8,8K,  63.514,    0.980, 0.3,277,    1.9,8129 , 0, 0, 0, 1,84,11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,1.240,8.896,12.096,19.840,23.424,58.624
skytap,randread,16,8K,  99.806,    1.248, 0.0,293,    1.5,12775 , 0, 0, 0, 0,27,69, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0,1.624,5.664,9.920,18.816,21.888,48.384
skytap,randread,32,8K,  97.304,    2.559, 0.0,465,    2.2,12454 , 0, 0, 0, 0, 0, 7,88, 2, 0, 0, 0, 0, 0, 0, 0, 0,3.504,9.152,12.992,25.216,33.536,76.288
skytap,randread,64,8K, 100.624,    4.965, 0.0,702,    3.6,12879 , 0, 0, 0, 0, 0, 0,11,85, 1, 0, 0, 0, 0, 0, 0, 0,6.752,18.304,22.912,40.704,54.528,91.648
skytap,read,1,8K,   8.765,    0.888, 0.3,84,    0.9,1121 , 0, 0, 0, 7,88, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.964,3.024,4.576,10.176,11.200,28.288
skytap,read,1,32K,  15.641,    1.995, 0.6,241,    3.9,500 , 0, 0, 0, 0,41,45, 3, 6, 2, 0, 0, 0, 0, 0, 0, 0,8.896,17.024,20.096,29.568,45.312,128.512
skytap,read,1,128K,  29.997,    4.160, 1.0,286,    6.5,239 , 0, 0, 0, 0, 0,16,65, 7, 8, 1, 0, 0, 0, 0, 0, 0,14.272,24.192,31.104,70.144,128.512,150.528
skytap,read,1,1M,  65.195,   15.330, 9.0,244,   11.1,65 , 0, 0, 0, 0, 0, 0, 0,29,48,20, 0, 0, 0, 0, 0, 0,35.000,50.000,68.000,143.000,221.000,245.000
skytap,read,8,1M, 108.391,   36.890,10.0,410,   17.5,108 , 0, 0, 0, 0, 0, 0, 0, 0, 2,75,20, 0, 0, 0, 0, 0,61.000,101.000,121.000,167.000,231.000,412.000
skytap,read,16,1M, 108.610,   73.630,14.0,405,   27.1,108 , 0, 0, 0, 0, 0, 0, 0, 0, 0,26,65, 7, 0, 0, 0, 0,108.000,167.000,194.000,260.000,285.000,404.000
skytap,read,32,1M, 105.272,  151.890,40.0,781,   57.8,105 , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8,84, 5, 0, 0, 0,265.000,379.000,424.000,586.000,619.000,783.000
skytap,read,64,1M, 106.640,  299.790,67.0,1451,  297.5,106 , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,69,16, 7, 6, 0,1254.000,1303.000,1319.000,1369.000,1418.000,1450.000
skytap,write,1,1K,   0.658,    1.480, 0.3,170,    3.0,674 , 0, 0, 0, 4,73, 7,12, 1, 1, 0, 0, 0, 0, 0, 0, 0,2.736,14.912,19.072,31.872,42.240,88.576
skytap,write,1,8K,   5.615,    1.388, 0.4,309,    3.9,718 , 0, 0, 0, 0,78,16, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0,1.864,14.784,19.584,56.576,76.288,115.200
skytap,write,1,128K,  11.892,   10.510, 1.0,929,   26.1,95 , 0, 0, 0, 0, 0, 0,50,16,24, 6, 1, 0, 0, 0, 0, 0,25.000,90.000,108.000,408.000,627.000,930.000
skytap,write,4,1K,   1.058,    1.842, 0.4,147,    2.6,1083 , 0, 0, 0, 2,42,36,13, 3, 1, 0, 0, 0, 0, 0, 0, 0,3.792,11.712,14.784,29.824,49.920,64.768
skytap,write,4,8K,   5.233,    2.980, 0.5,562,    9.0,669 , 0, 0, 0, 0, 8,61,22, 1, 3, 1, 0, 0, 0, 0, 0, 0,10.560,21.888,31.104,120.320,168.960,362.496
skytap,write,4,128K,  13.335,   18.730, 2.0,845,   34.1,106 , 0, 0, 0, 0, 0, 0, 2,45,19,28, 2, 1, 0, 0, 0, 0,42.000,165.000,194.000,510.000,586.000,848.000
skytap,write,16,1K,   2.845,    2.743, 0.4,200,    5.0,2913 , 0, 0, 0, 0, 8,52,31, 3, 2, 0, 0, 0, 0, 0, 0, 0,7.264,19.840,24.192,68.096,98.816,175.104
skytap,write,16,8K,   5.145,   12.141, 0.8,773,   24.6,658 , 0, 0, 0, 0, 0, 3,30,25,26,12, 0, 0, 0, 0, 0, 0,29.568,70.144,136.192,399.360,497.664,774.144
skytap,write,16,128K,  24.702,   40.470, 3.0,752,   59.5,197 , 0, 0, 0, 0, 0, 0, 0, 0,42,42, 7, 6, 0, 0, 0, 0,180.000,247.000,379.000,693.000,750.000,750.000

