system,name,users,bs,MB,lat,min,max,std,iops,us50,us100,us250,us500,ms1,ms2,ms4,ms10,ms20,ms50,ms100,ms250,ms500,s1,s2,s5,p95_00, p99_00, p99_50, p99_90, p99_95, p99_99
skytap,randread,1,8K, 147.523,    0.050, 0.0,4,    0.0,18883 ,63,36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.056,0.084,0.085,0.114,0.163,0.740
skytap,randread,8,8K, 527.802,    0.115, 0.0,78,    0.4,67558 , 0,49,48, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.169,0.294,0.382,1.048,1.784,17.280
skytap,randread,16,8K, 513.371,    0.239, 0.0,77,    1.5,65711 , 0,37,57, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.262,2.160,7.456,24.192,32.384,49.408
skytap,randread,32,8K, 561.950,    0.428, 0.0,860,    4.2,71929 , 0,11,74, 6, 3, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0,0.876,6.688,9.664,23.168,44.800,164.864
skytap,randread,64,8K, 575.271,    0.778, 0.0,1693,   16.1,73634 , 0,20,67, 6, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.676,5.152,10.816,102.912,362.496,782.336
skytap,read,1,8K,  35.917,    0.215, 0.2,5,    0.1,4597 , 0, 0,92, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.266,0.398,0.474,0.532,0.796,1.352
skytap,read,1,32K,  99.146,    0.313, 0.1,33,    0.2,3172 , 0, 0, 5,94, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.406,0.486,0.548,0.764,0.916,4.448
skytap,read,1,128K, 225.614,    0.550, 0.3,20,    0.2,1804 , 0, 0, 0,28,71, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.652,0.740,0.804,1.144,1.544,5.600
skytap,read,1,1M, 420.857,    2.371, 0.3,27,    0.9,420 , 0, 0, 0,10, 0, 2,86, 0, 0, 0, 0, 0, 0, 0, 0, 0,2.736,2.992,4.128,5.856,9.664,27.776
skytap,read,8,1M, 275.204,   17.960, 0.3,24,    5.5,275 , 0, 0, 0, 4, 0, 0, 2, 1,48,41, 0, 0, 0, 0, 0, 0,20.608,21.120,21.376,24.192,24.192,24.192
skytap,read,16,1M, 245.739,   34.190, 3.0,43,    6.4,245 , 0, 0, 0, 0, 0, 0, 0, 1, 6,92, 0, 0, 0, 0, 0, 0,37.632,38.144,40.704,42.752,43.776,43.776
skytap,read,32,1M, 272.465,   50.616, 0.3,84,   23.3,272 , 0, 0, 0, 5, 0, 0, 3, 1, 2,16,68, 0, 0, 0, 0, 0,75.264,75.264,83.456,83.456,83.456,84.480
skytap,read,64,1M, 310.167,   75.457, 0.3,155,   45.4,310 , 0, 0, 0, 3, 0, 0, 1, 2,11,17,23,40, 0, 0, 0, 0,130.560,132.096,132.096,142.336,152.576,154.624
skytap,write,1,1K,  10.545,    0.090, 0.1,6,    0.1,10798 , 0,80,19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.118,0.135,0.149,2.288,2.384,3.216
skytap,write,1,8K,  52.551,    0.145, 0.1,21,    0.2,6726 , 0,31,67, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.171,0.223,2.288,2.608,3.216,3.632
skytap,write,1,128K, 207.966,    0.597, 0.4,26,    0.6,1663 , 0, 0, 0,91, 0, 2, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0,2.544,2.960,3.312,3.472,3.600,11.328
skytap,write,4,1K,  25.650,    0.112, 0.1,68,    0.3,26266 , 0,65,34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.151,0.217,0.374,4.192,5.216,8.256
skytap,write,4,8K, 106.060,    0.217, 0.1,16,    0.5,13575 , 0, 0,95, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.245,2.384,4.320,5.344,7.136,9.792
skytap,write,4,128K, 275.472,    1.356, 0.4,104,    2.8,2203 , 0, 0, 0,22,54,11, 5, 5, 0, 0, 0, 0, 0, 0, 0, 0,4.704,8.640,17.792,38.144,58.112,71.168
skytap,write,16,1K,  37.426,    0.231, 0.1,32,    0.4,38324 , 0, 0,85,13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0.306,0.482,3.568,5.472,8.256,11.584
skytap,write,16,8K, 146.330,    0.475, 0.1,33,    0.9,18730 , 0, 0,27,65, 2, 1, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0,0.700,4.704,5.536,10.560,13.504,18.304
skytap,write,16,128K, 313.255,    3.568, 0.4,79,    5.3,2506 , 0, 0, 0, 0, 3,24,57,10, 2, 1, 0, 0, 0, 0, 0, 0,8.768,36.096,43.264,62.208,65.280,71.168

